epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,471.601,1.87751,1.04109,0.84161,0.57371,0.50495,0.52828,0.22619,1.84672,1.08177,0.78332,0.000218,0.000218,0.000218
92,476.188,1.8372,0.87774,0.83255,0.78054,0.38614,0.52405,0.21274,1.91149,1.15005,0.78597,0.0001982,0.0001982,0.0001982
93,480.674,1.794,0.82227,0.8256,0.70637,0.45257,0.51873,0.22207,1.97603,1.09319,0.79084,0.0001784,0.0001784,0.0001784
94,485.193,1.79745,0.84127,0.83515,0.72935,0.42692,0.50838,0.22737,1.88125,1.09553,0.78912,0.0001586,0.0001586,0.0001586
95,489.719,1.89153,0.89433,0.8425,0.71883,0.46535,0.52812,0.21835,1.95009,1.12789,0.78579,0.0001388,0.0001388,0.0001388
96,494.214,1.8048,0.91639,0.82118,0.84155,0.36634,0.50378,0.21023,2.06398,1.11793,0.788,0.000119,0.000119,0.000119
97,498.914,1.80884,0.83942,0.81876,0.87317,0.37624,0.52724,0.2247,1.99559,1.05926,0.78675,9.92e-05,9.92e-05,9.92e-05
98,503.503,1.81439,0.90211,0.81541,0.62825,0.48515,0.53043,0.2294,1.96903,1.03086,0.78266,7.94e-05,7.94e-05,7.94e-05
99,508.087,1.77838,0.83375,0.81768,0.60413,0.48515,0.53649,0.23114,1.97748,1.02761,0.78344,5.96e-05,5.96e-05,5.96e-05
100,512.736,1.73813,0.84343,0.83182,0.61504,0.48515,0.54046,0.23158,1.94823,1.03643,0.78055,3.98e-05,3.98e-05,3.98e-05
